from;to;amount
7692148365685;9135918870477;782518
4853233796549;2068347003848;2917149
1868130656682;9843639005143;4476570
2463504209882;6920912539820;803122
5693673747841;7166257451746;483918
9436658612491;9349499596749;-30
9119367364854;1801856163583;2143745
7517318675408;5667477312877;991417
1749719433714;6821982721045;2746620
3624393439811;5775661789009;2274516
8320084336896;2661164431664;1402350
7388506129746;7556891815806;3106993
7026243064257;7312624658285;46003
1172295568518;4799936856836;2028569
2056685707971;5981440801486;1561866
5921316087744;8879893314896;5007712
7479273729134;8574771288756;896081
4266284921368;1877713821243;2551073
6101547418684;9206428097894;8743370
9066422405202;4247868994463;4771072
1479707402377;6460202708281;3455205
4930265517064;4276846881603;2810017
2902005931434;7191229189260;765929
7275975566702;2773323383379;4418276
3672663355471;4463221194542;3190351
3207344361937;5084749153036;3409787
4379260600592;7305220709717;3302141
5173177818546;3547620651509;3423405
5596042111623;6249504013240;-1
5866771285260;6020402804727;2602705
2676834644572;5699149882188;3575872
1680452527175;8363876404116;1035469
8399666497031;6413382941254;1828652
9592856496226;3965898994460;1931264
5936000771280;4495556424389;212536
1585746167554;5431477127638;1765582
5872666004194;9833485312099;3664401
7706152114983;8286973461955;895474
6966727209376;3636304801374;4423512
2594995766381;8913980571794;2773306
1533727153569;7775429682320;744005
5085338782870;1074425627972;2246021
7009628625422;8362222227156;3252485
3006685297480;8112776422726;3339682
8921783165357;5902101354727;1494035
1314635333408;8447284558335;1795403
8511965216541;3801135619364;2878175
4782897629824;2755280586277;7105903
1562685920940;5243533985743;519616
1689150134408;6499418937317;1883389
