from;to;amount
4920255902898;7690208397248;8210804
5731242123931;1785417795995;5423578
5989734287118;1056617580241;5359110
7636319647180;4530703947451;3508402
1685068279882;5439383043490;1960362
8428060592852;6546384907567;4696315
7696691709670;1544243215117;6385683
3997662098972;1889044748726;4887392
7023722474778;2953429882689;8666443
3258650666533;7971997590481;2565207
3135380547146;9795591965725;7147176
5387999103618;8467710653557;1191199
1294612665169;5832081721392;1093051
7975343339768;9805879371894;6471970
2379571872972;4783949479910;4958098
4966216648195;9925727020823;7873863
8148059414688;1922811163245;7465991
3911859654938;3551022247871;2657077
9575311572598;5824039116780;9426174
6677631006199;8298207607086;7748090
5690543659672;3528204873165;9214728
9934373719492;9835855433856;2413587
7938394778548;5018389410473;5466302
6704515841793;7498384209788;2890221
8279034019368;9449943065566;1314542
1770994357282;4395695156549;1465744
5028840294486;7317142260452;-97
8436530306646;7840041903952;3317714
5781488592146;1075402628515;1654033
4749974631519;2136522123144;8798207
1328671200981;9642650244089;1848425
8428060592852;6546384907567;4696315
7869877978764;8021430491616;9924818
5295580169960;7400651763131;1168410
6935711211364;9727935274809;946107
4795185002654;6056727194814;603767
2221413992806;9389068145713;9096388
5803795835845;9639558754951;1306559
1060947550575;6648736446614;857176
8806613583745;7398992793588;679625
2366206136600;1258932510006;2736169
3229037638174;1289802590306;1625108
7948506348747;4509245577956;1334280
1936779950556;2901306419738;6281733
6803261353287;4565513252583;1069896
9980161982859;7604216446147;52432
7128549983379;3485960504590;9697422
9554701502853;7496140652589;-41
1127899357543;1909067401390;8932938
9873519161504;7834551398279;9717449
