from;to;amount
4562502290700;3670371324891;3293944
9401597829159;9515294082941;4174841
9377977433887;8251855062412;8706942
7139160754130;9635705142947;2745438
3122605161037;3041790791943;4984592
8019114352976;9091959711452;2927105
8341778932204;6316174350722;4593282
8203907595668;4487295747005;120653
2339779000667;8102230433673;3928715
5915169912544;8502940681611;2061083
6629478209969;4872965092946;2248168
6940815522561;2790537546497;151341
4876372407688;1339936016721;4204216
3261331963154;2871550486866;230405
5778648200735;1149170638474;7989590
9709405773169;6513508547967;2189821
3976043134027;1734715909336;4252702
8617661997860;8802169516138;766998
8539083173857;4973326243164;2370080
2738761934453;8613550707666;719175
8647393310209;6775196887514;3801347
9182152182555;4520653776726;3627858
4828154789443;8581705672156;9011020
4872160137134;7649563093634;446069
3273491405437;3190705762651;1273499
8665728306718;2893475218569;2982763
8276337524250;4881106644623;233910
2548069708627;6429597687448;541131
7438946372057;1212651076828;949000
1038608455018;5823016881624;4693770
7910546624325;8770700226520;680085
7350250731681;5800028552377;4873451
7820565692810;8873159558211;1144585
1191905720493;4253168191079;1884728
1101535940580;2147920543894;943554
4316790147236;6463072785370;3615377
9550769913082;3653658656580;-56
2866341706368;3343896882133;435902
7937559043130;4987512429773;2900473
4224942138234;6982076589472;4485063
7069560441608;7908816554737;1188815
5835491649355;2447023215399;553256
1618772415022;2187689768738;4810450
6232168648671;1960770145424;-24
9541087437946;4772130561231;2301497
5748356590031;9075534862197;4113376
4810455622614;1706421684370;3819274
5282855439270;8085996720196;4857305
4164011980756;3978201260336;467602
8143252369766;1638607738217;4905479
