from;to;amount
4988327934196;3920437185077;4910324
8903969746187;3886281006348;1273519
3797751058058;4447938381034;2076748
6481284786900;9762492540717;3848484
9881023235906;5936409931692;1356901
2101817598914;1368909524420;930531
2178831082832;4823759615913;56103
4998419659669;4791492840110;2508425
6393834901768;1298315264769;2270608
3494895170980;1255011867808;3684345
4025407413734;3046352121673;216870
5866803776941;8698596924382;1380126
7051039919685;4613051482074;666344
3895598693156;9855288182990;509724
2320963850990;5505788680896;3305068
6910644480776;2535542145543;2861888
8849998983010;1670571464881;102732
4856111728393;7151616134914;4144130
2727238479120;4213751782790;4195954
3574981957290;1768545182381;3177118
1027945785527;3292330975288;-72
2161109377059;1712740670942;4612132
9061548508941;1933508429533;290823
2243462295049;3719317328588;2878520
1758889716177;6620187878466;1770282
3029047885872;3355906375067;3817781
1380155319125;3772488981275;191038
4180433758694;9888042351384;2346967
7310726135203;7794091820060;6803290
5148136050052;4005108229797;4230275
5951231963422;4451090764107;4158706
6019833967989;9566234362132;2708408
5922919927464;9707793210208;4366813
3758866774045;5947391614767;1249265
5993770325160;5890095691665;1050351
5144117471093;8139027821449;660535
8664820378940;4681634936062;161411
7301244980443;1040853105532;584856
2418324878597;8906819353991;1233628
5218067374846;6206049693441;583164
3460280518392;7381941262504;4112203
6061783848202;4994484385013;5559024
8287666169306;1682783854982;2004536
1127421959178;1333532798010;2304535
9757268616849;4649947444639;-64
6026002713531;6257682726692;48862
5627583667487;6448906219832;3927941
3245502098296;7126074242619;484365
1933014498914;5161290388240;2319290
9224958024110;5552159438559;7075803
